prev_ictv_id	next_ictv_id	is_merged	is_split	dist	rev_count
19710002	19710002	0	0	0	0
19710002	19990048	0	1	1	0
19710002	19990055	0	1	1	0
19710003	19710003	0	0	0	0
19710008	19710008	0	0	0	0
19710009	19710009	0	0	0	0
19710010	19710010	0	0	0	0
19710011	19710011	0	0	0	0
19710011	19710012	2	0	2	1
19710011	20081066	1	0	1	0
19710012	19710011	2	0	2	1
19710012	19710012	0	0	0	0
19710012	20081066	1	0	1	0
19710013	19710013	0	0	0	0
19710014	19710014	0	0	0	0
19710015	19710015	0	0	0	0
19710016	19710016	0	0	0	0
19710017	19710017	0	0	0	0
19710018	19710018	0	0	0	0
19710018	19900100	0	1	1	0
19710018	19900101	0	1	1	0
19710018	19900102	0	1	1	0
19710018	19900103	0	1	1	0
19710018	19930121	1	1	2	0
19710019	19710019	0	0	0	0
19710020	19710020	0	0	0	0
19710021	19710021	0	0	0	0
19710022	19710022	0	0	0	0
19710023	19710023	0	0	0	0
19710024	19710024	0	0	0	0
19710025	19710025	0	0	0	0
19710026	19710026	0	0	0	0
19710027	19710027	0	0	0	0
19710028	19710028	0	0	0	0
19710029	19710029	0	0	0	0
19710030	19710030	0	0	0	0
19710030	19750034	0	0	1	0
19710031	19710031	0	0	0	0
19710032	19710032	0	0	0	0
19710033	19710033	0	0	0	0
19710033	19960203	0	1	1	0
19710033	19960204	0	1	1	0
19710034	19710034	0	0	0	0
19710035	19710035	0	0	0	0
19710036	19710036	0	0	0	0
19710037	19710037	0	0	0	0
19710038	19710038	0	0	0	0
19710039	19710039	0	0	0	0
19710040	19710040	0	0	0	0
19710040	19740004	0	0	1	0
19710041	19710041	0	0	0	0
19710042	19710042	0	0	0	0
19710042	19750017	0	0	1	0
19710043	19710043	0	0	0	0
19710044	19710044	0	0	0	0
19710045	19710045	0	0	0	0
19710046	19710046	0	0	0	0
19710047	19710047	0	0	0	0
19710048	19710048	0	0	0	0
19710049	19710049	0	0	0	0
19710049	19900109	0	0	1	0
19710050	19710050	0	0	0	0
19710051	19710051	0	0	0	0
19710051	19951381	0	1	1	0
19710051	19951382	0	1	1	0
19710051	19951383	0	1	1	0
19710051	19991139	1	1	2	0
19710051	20041476	1	2	3	0
19710051	20041480	1	2	3	0
19710051	20041498	1	2	3	0
19710052	19710052	0	0	0	0
19710053	19710053	0	0	0	0
19710054	19710054	0	0	0	0
19710054	19951391	0	1	1	0
19710054	19951392	0	1	1	0
19710054	19951393	0	1	1	0
19710054	19951394	0	1	1	0
19710054	19951395	0	1	1	0
19710054	19951396	0	1	1	0
19710054	19951397	0	1	1	0
19710054	19951398	0	1	1	0
19710054	19951399	0	1	1	0
19710054	19991144	1	1	2	0
19710054	20041457	1	2	3	0
19710054	20041458	1	2	3	0
19710054	20041459	1	2	3	0
19710054	20041460	1	2	3	0
19710054	20041461	1	2	3	0
19710054	20041462	1	2	3	0
19710054	20041463	1	2	3	0
19710054	20041464	1	2	3	0
19710054	20041465	1	2	3	0
19710054	20041466	1	2	3	0
19710054	20041467	1	2	3	0
19710054	20041468	1	2	3	0
19710054	20041469	1	2	3	0
19710054	20041470	1	2	3	0
19710054	20041472	1	2	3	0
19710054	20041473	1	2	3	0
19710054	20041474	1	2	3	0
19710054	20041475	1	2	3	0
19710054	20041482	1	2	3	0
19710054	20041483	1	2	3	0
19710054	20041484	1	2	3	0
19710054	20041485	1	2	3	0
19710054	20041486	1	2	3	0
19710054	20041492	1	2	3	0
19710054	20041493	1	2	3	0
19710054	20041494	1	2	3	0
19710054	20115553	2	2	4	0
19710055	19710055	0	0	0	0
19710056	19710056	0	0	0	0
19710057	19710057	0	0	0	0
19710058	19710058	0	0	0	0
19710059	19710059	0	0	0	0
19710060	19710060	0	0	0	0
19710061	19710061	0	0	0	0
19710062	19710062	0	0	0	0
19710062	19790951	1	0	2	1
19710062	19990710	0	0	1	0
19710063	19710063	0	0	0	0
19710064	19710064	0	0	0	0
19710065	19710065	0	0	0	0
19710065	19820661	1	0	2	1
19710065	19911097	1	0	2	1
19710065	19911100	1	0	2	1
19710065	19951533	0	0	1	0
19710066	19710066	0	0	0	0
19710066	19790558	1	0	2	1
19710066	19911200	2	0	4	2
19710066	19951534	0	0	1	0
19710066	19961587	2	0	3	2
19710066	19991245	1	0	2	0
19710067	19710067	0	0	0	0
19710068	19710068	0	0	0	0
19710068	19790490	4	0	4	2
19710068	19790492	4	0	4	2
19710068	19790494	4	0	4	2
19710068	19790496	4	0	4	2
19710068	19790498	4	0	4	2
19710068	19790499	4	0	4	2
19710068	19790500	4	0	4	2
19710068	19790502	4	0	4	2
19710068	19790503	4	0	4	2
19710068	19790504	4	0	4	2
19710068	19790505	4	0	4	2
19710068	19790556	2	0	2	1
19710068	19790557	2	0	2	1
19710068	19991249	3	0	3	2
19710068	19991251	1	0	1	0
19710068	20083305	2	0	2	0
19710069	19710069	0	0	0	0
19710069	19790480	2	1	3	3
19710069	19790481	2	1	3	3
19710069	19790483	2	1	3	3
19710069	19790484	2	1	3	3
19710069	19790485	2	1	3	3
19710069	19820653	0	1	1	0
19710069	19820656	0	1	1	0
19710069	19991243	1	1	2	0
19710070	19710070	0	0	0	0
19710070	19760343	2	0	2	1
19710070	19760351	2	0	2	1
19710070	19760352	2	0	2	1
19710070	19760357	2	0	2	1
19710070	19760358	2	0	2	1
19710070	19760360	2	0	2	1
19710070	19760368	2	0	2	1
19710070	19760376	2	0	2	1
19710070	19760379	2	0	2	1
19710070	19760390	2	0	2	1
19710070	19760392	2	0	2	1
19710070	19760400	2	0	2	1
19710070	19760405	2	0	2	1
19710070	19760408	2	0	2	1
19710070	19760413	2	0	2	1
19710070	19760430	2	0	2	1
19710070	19760434	2	0	2	1
19710070	19760435	2	0	2	1
19710070	19991256	1	0	1	0
19710071	19710071	0	0	0	0
19710071	19760115	2	0	2	1
19710071	19760116	2	1	3	4
19710071	19760120	2	1	3	8
19710071	19760123	4	3	7	30
19710071	19810183	2	2	4	2
19710071	19810184	2	2	4	2
19710071	19810185	2	2	4	2
19710071	19810186	2	2	4	2
19710071	19810187	2	2	4	2
19710071	19810188	2	2	4	2
19710071	19810189	2	2	4	2
19710071	19810190	2	2	4	2
19710071	19810191	2	0	2	1
19710071	19810196	2	2	4	4
19710071	19810197	2	2	4	4
19710071	19810198	2	2	4	4
19710071	19810199	2	2	4	4
19710071	19810200	2	2	4	4
19710071	19810201	2	2	4	4
19710071	19810202	2	2	4	4
19710071	19810203	2	2	4	4
19710071	19810204	2	2	4	4
19710071	19810205	2	2	4	4
19710071	19810207	2	2	4	4
19710071	19810208	2	2	4	4
19710071	19810209	2	2	4	4
19710071	19810210	2	2	4	4
19710071	19810211	2	2	4	4
19710071	19810212	2	2	4	4
19710071	19810213	2	2	4	4
19710071	19810214	2	2	4	4
19710071	19810215	2	2	4	4
19710071	19810216	2	2	4	4
19710071	19810217	2	2	4	4
19710071	19810218	2	2	4	4
19710071	19810219	2	2	4	4
19710071	19810220	2	2	4	4
19710071	19810221	2	2	4	4
19710071	19810222	4	4	6	439
19710071	19810223	2	2	4	4
19710071	19810224	2	0	2	1
19710071	19810225	2	0	2	1
19710071	19810226	2	2	4	4
19710071	19810227	2	2	4	4
19710071	19810228	2	2	4	4
19710071	19810230	4	4	8	10
19710071	19810231	4	4	6	40
19710071	19810232	4	4	6	40
19710071	19810233	4	4	6	40
19710071	19810234	4	4	6	40
19710071	19910346	4	4	6	439
19710071	19910347	4	4	6	621
19710071	19910348	4	4	6	621
19710071	19910349	4	4	6	621
19710071	19910350	4	4	6	621
19710071	19910354	4	4	6	621
19710071	19910355	4	4	6	621
19710071	19910356	4	4	6	621
19710071	19910357	4	4	6	621
19710071	19910358	4	4	6	621
19710071	19910359	4	4	6	621
19710071	19910378	4	4	6	301
19710071	19910379	4	4	6	301
19710071	19910381	2	0	2	1
